seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
34,-7.712592581732976,-7.770503966317292,461,-7.4827087832243375,-7.133947486198907,343,0.28779518309295415,0.9436928998930957,0.27667397790185166,0.09484097542996124,0.45852910451694506,0.5405,37.0
35,-7.981303639299308,-8.03215067042123,2,-7.667270488386438,-7.151340425308858,392,0.3648801820347911,0.935621700441196,0.4664211954527633,0.30462435978297664,0.6304347673013204,0.153,1.0
36,-7.823864268939428,-7.864630971860241,2,-7.4762387459522675,-7.161796572082802,326,0.38839222590797373,0.9577165164402107,0.33679298046934614,0.13848508584564576,0.539729509836059,0.6665,6.0
37,-7.748844768670218,-7.847912898676498,35,-7.525269794926886,-7.147720380207715,338,0.3226431037496118,0.9541795508693197,0.2890998561032596,0.11089381305579038,0.4887979299079253,0.6085,25.0
38,-7.8773682215506655,-7.904957914366025,18,-7.383720620724974,-7.1679599930508,213,0.5212372936410512,0.940985704960573,0.37713871538779653,0.2092694385017178,0.5410211078293333,0.9215,2.0
39,-7.842616963282402,-7.929611743431496,28,-7.665288530997296,-7.179031087377956,201,0.2643232124342001,0.93346390040856,0.34584958342918837,0.17591245370510028,0.522038395036514,0.225,4.0
40,-7.777470830771015,-7.8477467288379374,51,-7.529272929248593,-7.300260128507586,107,0.3184737995893441,0.9504320283487263,0.31379104862768337,0.11193394263404244,0.5262693560887345,0.5135,18.0
41,-7.873679344213794,-8.244337187088083,68,-7.720780518485714,-7.2919210991887375,463,0.5235566686023692,0.9607860181787399,0.41300459665656897,0.15861437281774188,0.6797493713838242,0.764,10.0
42,-7.931982994482132,-7.931982994482132,1,-7.589876644026437,-7.201207527329441,330,0.34210635045569493,0.9396200750415974,0.42342425214018586,0.2614234324505712,0.5806659824709515,0.191,1.0
43,-7.831158091920197,-7.915507617071869,39,-7.580836582672125,-7.350748023407807,275,0.33467103439974366,0.9279885185034806,0.3668300802796791,0.15552650230334608,0.5866291927263191,0.409,10.0
44,-7.874716889699494,-8.068910913025539,12,-7.438166362994419,-7.126060101020141,330,0.6307445500311193,0.9563566586061997,0.3781540586192387,0.172108802617675,0.5979287510003355,0.969,3.0
45,-7.864638082671908,-7.899134939498295,2,-7.439743461665388,-7.148015134669382,312,0.45939147783290757,0.9622555987473871,0.37724729909539656,0.16676270625182807,0.6181436980562053,0.715,5.0
46,-7.818947239139925,-7.962243304932363,5,-7.546173709060628,-7.194188413051335,296,0.4160695958717353,0.9435377902699372,0.33226749886115403,0.1516386648913659,0.512277433089547,0.7955,5.0
47,-7.834642787929409,-7.966985795722533,10,-7.399635832869141,-7.125056198496584,163,0.5673499628533927,0.9686219276858065,0.36268076234281565,0.12727060417689234,0.5936111748648856,0.932,9.0
48,-7.894125146776904,-7.967503517773838,7,-7.559572821968845,-7.242286914359448,251,0.40793069580499264,0.9406359147134443,0.38701692494605267,0.21635958968130153,0.5580446515829786,0.582,2.0
49,-7.850600967987351,-7.850600967987351,1,-7.648767720306397,-7.2357708157580625,443,0.20183324768095368,0.959877167353047,0.3647521787025729,0.1515363968288546,0.599636158549693,0.1035,5.0
50,-7.982998034954592,-7.982998034954592,1,-7.415942436346092,-7.151872374622031,338,0.5670555986085004,0.9704265724791103,0.481031588245481,0.2564979820419634,0.7125042255423617,0.7265,2.0
