seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
11,-5.71131745361438,-5.902369120736095,69,-5.4130066512856025,-4.994439766408848,358,0.48936246945049255,0.9456140982799032,0.598180229996812,0.3050423158984543,0.9048661554905837,0.279,74.0
12,-5.67546703540167,-5.970136907724878,125,-5.39577016499023,-5.029543806385355,351,0.5743667427346475,0.9479689502151881,0.5608750292223301,0.28439557476223465,0.840413547710994,0.526,77.0
13,-5.641965866525358,-5.971494468700709,189,-5.155487481863185,-5.04551174487081,441,0.8160069868375244,0.9420876141425126,0.5682892152968666,0.2811441049806574,0.8587051000854999,0.922,89.0
14,-5.751304682024565,-5.842955841191772,10,-5.552278351544419,-5.003101741920592,442,0.2906774896473534,0.9430884051760768,0.5526472052041846,0.305534467239237,0.8338342915395921,0.041,29.0
15,-5.571444103940503,-5.794445678995535,130,-5.365237674914403,-5.042534334065891,457,0.4292080040811319,0.9132745636479096,0.5327448160430581,0.2838591200332027,0.78825335360725,0.265,76.0
16,-5.630664537720788,-5.821918097891823,145,-5.419823182690205,-5.095503850707464,406,0.40209491520161755,0.9078541686639215,0.5081760563083941,0.2863431747588491,0.7336101694195551,0.2085,57.0
17,-5.667122860107826,-5.783642226863627,68,-5.261305651540427,-5.049495105751256,140,0.5223365753231999,0.9241655641444025,0.5446525339669734,0.28046518387496977,0.7981503592914155,0.4495,66.0
18,-5.578296799807227,-5.979881046579076,38,-5.150693668186866,-4.944610989132957,452,0.8291873783922101,0.9568698672770675,0.6042630324169793,0.25814733598262835,0.9790105369888078,0.8455,123.0
19,-5.655627866131496,-5.973246147643243,90,-5.345080316513196,-5.131679691288032,146,0.6281658311300466,0.9261715947388316,0.5724633337010436,0.28870717108125155,0.8541457033229936,0.633,73.0
20,-5.581604430424672,-5.9939777428995065,10,-5.193725869574165,-4.999416675601937,395,0.8002518733253412,0.9221465679625686,0.5573873736566917,0.2825076580655555,0.8499481464460567,0.916,85.0
21,-5.619671784135025,-5.908149289680437,449,-5.306619000753105,-5.070394422696525,362,0.6015302889273322,0.9373958839685801,0.5558164136125052,0.2689823086426225,0.8280259229562938,0.6135,82.0
22,-5.655525759196284,-5.789525115358795,89,-5.431268133224873,-5.037031657486928,409,0.35825698213392165,0.9032807932264528,0.5184128569326001,0.29327620459929116,0.7479018233551086,0.119,52.0
23,-5.519441026739202,-5.867036279310312,22,-5.295102963252403,-5.119621506476509,388,0.5719333160579092,0.8823987050340737,0.49018021944179324,0.28779317648088587,0.689504627518194,0.739,57.0
24,-5.683270872785327,-5.848216221126348,7,-5.209717403932048,-5.123443218268682,400,0.6384988171943,0.8998857899654226,0.5135438644714627,0.2916678610758362,0.7340676006205102,0.8105,42.0
25,-5.722702022309915,-5.98649554257261,19,-5.381299035791201,-4.994048774076206,186,0.6051965067814082,0.9296504158813409,0.5821511108524442,0.2841122624017781,0.8696597614002131,0.548,56.0
26,-5.795778577165291,-5.953341417197335,191,-5.550702341870083,-4.957102745571272,318,0.4026390753272526,0.9594450614865747,0.6317921923118401,0.29535576009081643,0.9544889732319684,0.1275,42.0
27,-5.734328367431042,-6.050646027880288,43,-5.249968398495572,-5.117611257405903,438,0.8006776293847162,0.9371718999888109,0.5992970005170428,0.30638778486665225,0.9064954285670161,0.869,58.0
28,-5.615122972387894,-5.878553434159384,24,-5.172336707588658,-4.933657436001232,445,0.7062167265707258,0.9424296532349397,0.5600484199984517,0.2789474984256592,0.8561652693231058,0.8045,96.0
29,-5.650818770714872,-6.177216962832823,24,-5.38292891360728,-5.026147892254309,411,0.7942880492255426,0.9359295397274882,0.5706574177097692,0.28742325375182526,0.8688131226542452,0.882,83.0
30,-5.613802446613588,-5.871554963067775,18,-5.048759264978491,-4.945483534273916,410,0.8227956980892834,0.92188029264552,0.5267980496032734,0.27316581581239296,0.7809681978937619,0.972,70.5
31,-5.629808512018607,-6.102979754507085,15,-5.203606212414857,-5.0791262142321525,423,0.8993735420922278,0.9209161334701043,0.5658509818945068,0.2980516791179094,0.8466211977470511,0.976,78.5
32,-5.655589344078367,-6.017313946266391,35,-5.377887895398781,-4.967029944981296,301,0.63942605086761,0.9273184033087664,0.5627352009628468,0.2956617083799361,0.8615631827574909,0.67,74.5
33,-5.475223883440443,-5.908246794148616,130,-5.217375973185213,-5.042879450140816,485,0.6908708209634034,0.9454356768022886,0.5620783308153596,0.25561538570797004,0.8648788149204572,0.7525,123.0
34,-5.556725576712705,-5.8132301217396085,107,-5.062031932397799,-5.0284024887482,498,0.7511981893418094,0.929321420314218,0.5142046418110939,0.25795161688231044,0.7469583634574914,0.953,80.0
35,-5.766482112418806,-6.07476336836545,14,-5.2174315162160765,-5.05772389211645,88,0.8573318521493736,0.9343064845743627,0.5756887966207,0.3112111378905813,0.841241436371713,0.956,32.0
36,-5.754386118076072,-5.9012213099001904,76,-5.449218539056284,-5.160214400147842,157,0.4520027708439063,0.9007524940181018,0.5310087535677126,0.3100020328113483,0.7726525894043883,0.2785,17.0
37,-5.529989071099837,-5.991793839106984,485,-5.55546108475584,-5.12709589932973,425,0.4363327543511444,0.9357699280821767,0.5642327823205084,0.2905683633568362,0.8623982305650629,0.2305,100.0
38,-5.632718776785032,-6.012042142769149,9,-5.373015876769625,-5.1591670305492485,294,0.6390262659995232,0.820539855264733,0.47931952261844346,0.30615842815427474,0.6587200815236911,0.925,35.0
39,-5.697957856346345,-5.909779556623685,103,-5.459080665653243,-5.030820829509716,359,0.45069889097044236,0.9113824652197567,0.557028640065031,0.30026294350550337,0.8239175669023843,0.261,53.0
40,-5.523377914652119,-5.829199794806299,263,-5.266316745854754,-4.991123434681684,454,0.5628830489515453,0.9301651934021126,0.5576230647799743,0.27101612238397854,0.8614683884916042,0.515,99.0
41,-5.5135004136266765,-5.835970969852693,93,-4.977404603191698,-4.860499407223103,494,0.8585663666609946,0.9162292183788764,0.5079580106150572,0.2773205737389473,0.7390816162473992,0.9915,78.0
42,-5.636046489418455,-5.9080700019542975,202,-5.146940350224025,-5.030725264353295,432,0.7611296517302728,0.9277832103773817,0.5479246211907407,0.289929516573303,0.8171148110711288,0.9075,73.0
43,-5.727370463313734,-6.01957499710104,7,-5.068665355795528,-5.0121924096740775,499,0.950909641305512,0.9393941324123306,0.5873815594146512,0.29147424223025165,0.9113380351431095,0.974,62.0
44,-5.729325211765964,-5.969747402952683,360,-5.295610395113024,-5.01984083823507,274,0.6741370078396587,0.9624851182696431,0.6348110231344921,0.27067141730601396,1.0184922308415496,0.5715,98.0
45,-5.692833712374033,-5.982812068984402,9,-5.226383758740203,-4.960732531515252,423,0.7564283102441989,0.9471404914070148,0.6002019631599183,0.2927978785629187,0.9377303996271038,0.777,82.0
46,-5.665884786392539,-6.016770991477339,26,-5.245842444707045,-5.034750582707283,453,0.7709285467702935,0.9482668643377422,0.5685486459304663,0.2711185908738799,0.8739187371987395,0.883,89.0
47,-5.666972428817817,-5.81187770369165,264,-4.989418543533387,-4.98790712587108,468,0.8224591601582629,0.9210590001755957,0.5450916012700548,0.28509966768849837,0.7944823870737056,0.9665,66.0
48,-5.629238963651812,-5.9453203183239385,87,-5.388999638908885,-5.080287260519409,417,0.5563206794150535,0.9319367618590881,0.552575925721353,0.27424437698373944,0.835166084245063,0.505,77.0
49,-5.700413818999554,-5.911526054645076,101,-5.220799292910715,-4.98769724154107,490,0.6907267617343615,0.920563418600405,0.567042366374821,0.2979515766573742,0.8523286405513447,0.774,52.5
50,-5.606366799196357,-5.967991095464288,48,-5.393371614231289,-4.931791914972755,480,0.5746194812329986,0.9377025046920808,0.5664939435429619,0.2903017638757096,0.8515155280933315,0.522,88.0
