seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
32,-6.580412395413315,-9.552889853993053,485,-9.477769646793972,-5.519320034471432,164,0.07512020719908108,0.9234700946983235,0.09672478614212032,0.0,0.35824533989300367,0.4355,497.0
33,-6.368058943802947,-9.612971846013084,500,-9.612971846013084,-5.624658514523693,182,0.0,0.8299073472266874,0.07734715652083679,0.0,0.25110469225315296,0.0,497.0
34,-6.193406597701147,-9.8700798921813,500,-9.8700798921813,-5.497343537867672,164,0.0,0.9497073318720399,0.13003340328415014,0.0,0.45735929165802625,0.0,495.0
35,-6.447733066823753,-8.605256333076815,495,-8.452068201470276,-5.351942414604039,182,0.1531881316065391,0.9428304822019211,0.11209970444190898,0.0,0.42400428950057983,0.6045,496.0
36,-6.206556431289548,-9.434219006492414,498,-9.3353816094058,-5.705467310079097,129,0.09883739708661388,0.8201671898941841,0.08201820263035753,0.0,0.27715714680212755,0.5635,497.0
37,-6.42637187958622,-9.53140283598974,493,-9.33593166831822,-5.5659066063975535,178,0.19547116767151884,0.9058469686079325,0.105341777033499,0.0,0.3397250626548611,0.7615,496.0
38,-6.378890805058963,-10.36353103058608,498,-10.23389052443444,-5.647279742693739,92,0.1296405061516399,0.9832126913206746,0.09074696649750802,0.0,0.3634988643587555,0.6335,497.0
39,-6.678665087504377,-9.369771699331642,500,-9.369771699331642,-5.602783644475571,195,0.0,0.8880724591651408,0.08822517046618739,0.0,0.3047139337002407,0.0,497.0
40,-6.205700683094962,-9.633704767449418,492,-9.244500587856669,-5.494012440369094,158,0.389204179592749,0.8756085404552529,0.09484715208664518,0.0,0.30024814792340043,0.9865,497.0
41,-6.4577500647351815,-9.0235010650639,495,-8.935738586844325,-5.45439325510227,172,0.08776247821957561,0.8840285168156471,0.09967304580924097,0.0,0.3322725283838511,0.4565,497.0
42,-6.671442586650709,-9.431591972215198,491,-9.364941271556898,-5.53843242924217,163,0.06665070065830037,0.8891477090550689,0.07932716241079873,0.0,0.2724727960080679,0.4495,497.0
43,-6.421269459650423,-8.8485167850942,475,-8.638710474992868,-5.462129124766892,176,0.20980631010133166,0.8769044442620961,0.11455664913234642,0.0,0.35211438059436295,0.7745,497.0
44,-6.268445109616531,-9.033970165061644,489,-8.82589201371369,-5.544516421785963,171,0.20807815134795504,0.9099078657633208,0.0883262373373137,0.0,0.30615561291980675,0.845,497.0
45,-6.438557863046309,-10.000489083604815,495,-9.841726255070252,-5.6431732901377165,177,0.15876282853456303,0.9001992960304144,0.12121764718817296,0.0,0.40491039547890756,0.6005,496.0
46,-6.463146984534826,-10.181896567699011,493,-10.076603223864712,-5.506190959333878,148,0.10529334383429934,0.9885292037380725,0.07256705421291265,0.0,0.30330929967271175,0.607,497.0
47,-6.587341072174038,-8.607582704457664,500,-8.607582704457664,-5.3828540046242175,157,0.0,0.9717766761356498,0.1043833686780431,0.0,0.4129770258627841,0.0,496.0
48,-6.328302904225447,-9.579760425456197,499,-9.551749918281116,-5.673460490645828,140,0.02801050717508069,0.8856537089436561,0.0827645598234259,0.0,0.2843302693315686,0.291,497.0
49,-6.2767052146294064,-9.75520441643999,493,-9.528246237222058,-5.511897008689361,156,0.22695817921793093,0.9331175467145562,0.09680587588281675,0.0,0.3313187929739958,0.846,497.0
50,-6.626621307913299,-8.996104136855207,499,-8.97042565197898,-5.662577001965883,185,0.02567848487622726,0.8328929254468872,0.10894654636694678,0.0,0.3324661184489946,0.2355,497.0
